시군구별 ,2010,2010(남),2010(여),2011,2011(남),2011(여),2012,2012(남),2012(여),2013,2013(남),2013(여),2014,2014(남),2014(여),2015,2015(남),2015(여),2016,2016(남),2016(여),2017,2017(남),2017(여),2018,2018(남),2018(여),2019,2019(남),2019(여),2020,2020(남),2020(여)
서울특별시,93266,48121,45145,91526,46853,44673,93914,48353,45561,84066,43181,40885,90865,42899,40812,83005,42370,40635,75536,38744,36792,65389,33485,31904,58074,30137,27937,53673,27811,25862,47445,24344,23101
종로구,1107,566,541,1103,561,542,1100,590,510,873,440,433,982,474,431,906,449,457,846,444,402,689,337,352,644,348,296,673,334,339,529,268,261
중구,1170,600,570,1105,550,555,1215,609,606,1022,531,491,1120,531,510,950,485,465,959,497,462,808,397,411,733,342,391,783,426,357,690,348,342
용산구,2312,1157,1155,2309,1190,1119,2411,1240,1171,2129,1091,1038,2156,1018,958,1967,996,971,1708,878,830,1464,745,719,1377,717,660,1314,684,630,1176,611,565
성동구,2886,1508,1378,2776,1437,1339,2835,1463,1372,2838,1476,1362,2887,1341,1313,2753,1379,1374,2531,1287,1244,2462,1265,1197,2346,1234,1112,2191,1120,1071,1945,1009,936
광진구,3366,1761,1605,3184,1615,1569,3319,1752,1567,2990,1539,1451,3263,1552,1459,2951,1483,1468,2767,1411,1356,2347,1241,1106,2197,1131,1066,1957,1022,935,1532,769,763
동대문구,2880,1490,1390,2947,1484,1463,2963,1528,1435,2651,1368,1283,2853,1400,1234,2687,1393,1294,2383,1185,1198,2117,1110,1007,1886,994,892,1884,943,941,1702,860,842
중랑구,3570,1879,1691,3450,1777,1673,3659,1873,1786,3265,1693,1572,3536,1607,1681,3368,1758,1610,3085,1551,1534,2744,1407,1337,2446,1265,1181,2244,1176,1068,1873,957,916
성북구,4409,2213,2196,4414,2315,2099,4217,2176,2041,3831,1915,1916,3846,1785,1752,3514,1805,1709,3060,1552,1508,2631,1344,1287,2264,1210,1054,2147,1098,1049,2041,1022,1019
강북구,2801,1412,1389,2789,1421,1368,2818,1490,1328,2491,1324,1167,2569,1204,1156,2164,1113,1051,1965,990,975,1772,882,890,1344,691,653,1227,637,590,1049,557,492
도봉구,3158,1640,1518,3005,1564,1441,3083,1626,1457,2530,1318,1212,2769,1352,1201,2481,1250,1231,2249,1148,1101,1906,978,928,1707,903,804,1483,786,697,1218,631,587
노원구,5298,2729,2569,5063,2560,2503,5296,2659,2637,4668,2404,2264,5086,2438,2277,4462,2286,2176,4176,2192,1984,3494,1772,1722,2851,1490,1361,2604,1349,1255,2252,1188,1064
은평구,4095,2123,1972,4318,2167,2151,4654,2360,2294,4157,2178,1979,4413,2132,1953,3870,1926,1944,3522,1825,1697,2930,1466,1464,2703,1364,1339,2407,1253,1154,2144,1092,1052
서대문구,2713,1420,1293,2368,1171,1197,2470,1299,1171,2358,1213,1145,2521,1183,1151,2175,1106,1069,2201,1124,1077,1911,973,938,1647,879,768,1521,770,751,1533,775,758
마포구,3824,1977,1847,3859,1917,1942,3797,1987,1810,3320,1664,1656,3687,1736,1637,3626,1841,1785,3392,1730,1662,2812,1461,1351,2528,1281,1247,2334,1200,1134,2015,1057,958
양천구,3678,1929,1749,3727,1997,1730,3869,1976,1893,3547,1866,1681,3842,1825,1702,3526,1803,1723,3334,1679,1655,2876,1474,1402,2387,1185,1202,2222,1203,1019,1875,977,898
강서구,5720,3051,2669,5753,2937,2816,5875,2922,2953,5224,2606,2618,5859,2690,2734,5812,2978,2834,5456,2859,2597,4800,2462,2338,4260,2184,2076,3841,1995,1846,3345,1692,1653
구로구,4770,2439,2331,4633,2369,2264,4936,2504,2432,4468,2249,2219,4658,2197,2082,4257,2116,2141,3736,1924,1812,3139,1595,1544,2658,1371,1287,2460,1270,1190,2269,1203,1066
금천구,2002,1046,956,1927,952,975,2077,1049,1028,1739,859,880,1967,925,895,1885,960,925,1595,820,775,1498,788,710,1314,655,659,1154,622,532,1092,553,539
영등포구,4288,2206,2082,4050,2000,2050,4050,2095,1955,3448,1777,1671,3781,1809,1671,3611,1865,1746,3282,1690,1592,2805,1465,1340,2698,1352,1346,2633,1338,1295,2296,1200,1096
동작구,3846,2012,1834,3837,1964,1873,3883,2047,1836,3712,1925,1787,4091,1950,1815,3643,1854,1789,3184,1677,1507,2814,1387,1427,2417,1244,1173,2227,1174,1053,2044,1076,968
관악구,4738,2391,2347,4729,2418,2311,4596,2403,2193,4140,2099,2041,4428,2080,1991,3960,2035,1925,3561,1803,1758,2931,1487,1444,2582,1384,1198,2245,1155,1090,1905,955,950
서초구,4403,2253,2150,4190,2167,2023,4439,2308,2131,4081,2113,1968,4504,2152,1983,4078,2053,2025,3629,1827,1802,3039,1559,1480,2919,1557,1362,2512,1337,1175,2238,1165,1073
강남구,4836,2478,2358,4761,2448,2313,4903,2522,2381,4551,2326,2225,5105,2401,2253,4595,2369,2226,4122,2047,2075,3456,1783,1673,2940,1568,1372,2749,1432,1317,2356,1232,1124
송파구,6750,3473,3277,6574,3444,3130,6859,3532,3327,5963,3082,2881,6504,3030,2971,5899,3045,2854,5500,2915,2585,4976,2606,2370,4567,2422,2145,4424,2277,2147,3791,1906,1885
강동구,4646,2368,2278,4655,2428,2227,4590,2343,2247,4070,2125,1945,4438,2087,2002,3865,2022,1843,3293,1689,1604,2968,1501,1467,2659,1366,1293,2437,1210,1227,2535,1241,1294
